ID,NAME,PROFIL,ZEITRAUM
1,Patrick Frauendorf,2,2020/08-2020/10
5,Hugo Goedicke,2,2020/08-2020/11
9,Theresa Bozsik,3,2020/08-2020/11
13,Rosalie Grau,3,2020/08-2021/03
2,Wibke Kustermann,1,2020/08-2023/08
3,Sally Metzner,4,2020/08-2023/08
4,Niklas Kesselschläger,1,2020/08-2023/08
6,Hans-Jürgen Klapper,1,2020/08-2023/08
7,Paula Bogenrieder,1,2020/08-2023/08
8,Kai Kupprion,2,2020/08-2023/08
10,Edgar Meier,1,2020/08-2023/08
11,Yaren Adam,1,2020/08-2023/08
12,Mathilde Konow,2,2020/08-2023/08
14,Fritz Anding,1,2020/08-2023/08
17,Josefine Daimer,4,2020/09-2021/01
21,Katja Cordes,1,2020/09-2021/01
15,Christiane Marquart,1,2020/09-2023/08
16,Jenny Balnuweit,3,2020/09-2023/08
18,Johann Fleischer,5,2020/09-2023/08
19,Valentin Rach,2,2020/09-2023/08
20,Jessica Hasler,4,2020/09-2023/08
22,Eva Nowak,4,2020/09-2023/08
23,Boris Herrmann,3,2020/09-2023/08
24,Quentin Klein,2,2020/09-2023/08
25,Lisa Leyckes,3,2020/10-2021/06
26,Marit Gromisch,1,2020/10-2023/08
29,Kai Rohrer,4,2020/11-2021/01
33,Louise Rath,4,2020/11-2021/06
27,Lilli Möldner,2,2020/11-2023/08
28,Sascha Kedzierski,3,2020/11-2023/08
30,Louisa Bruckmann,4,2020/11-2023/08
31,Valentino Gürbig,5,2020/11-2023/08
32,Hana Dahm,2,2020/11-2023/08
34,Mohamed Dies,2,2020/11-2023/08
35,Leonie Kempe,1,2020/11-2023/08
41,Sofia Brinkmann,4,2021/01-2021/09
37,Lili Cierpinski,1,2021/01-2022/01
36,Hermine Eberhardt,1,2021/01-2023/08
38,Angela Mau,3,2021/01-2023/08
39,Bianka Reifenrath,5,2021/01-2023/08
40,Hans-Jürgen Daimer,2,2021/01-2023/08
45,Yannis Kleinsteuber,2,2021/02-2021/03
42,Sabrina Geese,5,2021/02-2023/08
43,Armin Knetsch,1,2021/02-2023/08
44,Janna Behrenbruch,2,2021/02-2023/08
46,Jordan Onnen,2,2021/02-2023/08
47,Vivienne Dressler,3,2021/02-2023/08
48,Evelina Göckeritz,1,2021/02-2023/08
49,Mohamed Greger,2,2021/03-2021/08
53,Oliver Lott,1,2021/04-2022/02
50,Lorenz Boxhammer,3,2021/04-2023/08
51,Josefin Kesselschläger,2,2021/04-2023/08
52,Sören Bogdashin,4,2021/04-2023/08
54,Michelle Anding,1,2021/05-2023/08
55,Ahmed Helpling,2,2021/06-2023/08
56,Ludwig Cornelsen,1,2021/06-2023/08
57,Celine Kleinert,1,2021/07-2022/07
58,Friederike Byrd,1,2021/07-2023/08
59,Julika Kuschmann,1,2021/08-2023/08
60,Jordan Gotz,1,2021/08-2023/08
61,Leni Esenwein,3,2021/09-2022/06
62,Hermine Mattern,1,2021/09-2023/08
63,Johannes Kurrat,3,2021/09-2023/08
66,Evelina Bozsik,4,2021/10-2021/11
67,Francesco Pfersich,2,2021/10-2021/11
65,Alicia Hadwich,2,2021/10-2022/01
64,Melek Hentel,2,2021/10-2023/08
68,Piet Kuhlee,3,2021/11-2023/08
69,Maximilian Mathes,1,2022/01-2022/02
73,Allegra Kruger,5,2022/01-2022/03
70,Alex Behnke,1,2022/01-2023/08
71,Marit Ringel,5,2022/01-2023/08
72,Mats Noack,1,2022/01-2023/08
74,Janina Burkhardt,1,2022/02-2023/08
75,Ryan Daimer,2,2022/02-2023/08
76,Gabriel Daub,1,2022/02-2023/08
77,Ivonne Jegorov,2,2022/03-2022/04
78,Henry Dressler,1,2022/03-2023/08
79,Christina Plank,3,2022/03-2023/08
80,Lewis Frey,1,2022/03-2023/08
81,Emilian Orthmann,4,2022/05-2023/04
82,Abigail Mesloh,2,2022/05-2023/08
83,Salih Frauen,2,2022/05-2023/08
85,Sophia Madetzky,5,2022/06-2023/06
84,Nina Eich,1,2022/06-2023/08
86,Lenja Kühn,4,2022/06-2023/08
87,Nelli Peters,3,2022/06-2023/08
88,Finja Ewald,1,2022/06-2023/08
89,Jessy Frahmeke,4,2022/07-2023/02
90,Henriette Hold,1,2022/07-2023/08
91,Darius Lohmann,2,2022/07-2023/08
93,Karolina Co,3,2022/08-2022/12
92,Tom Gabius,1,2022/08-2023/08
94,Sofie Restle,2,2022/08-2023/08
95,Joline Ertl,4,2022/08-2023/08
96,Levent Dethloff,2,2022/08-2023/08
97,Emre Axmann,2,2022/10-2023/06
98,Melinda Kazmarek,2,2022/10-2023/08
99,Fabienne Aigner,2,2022/11-2023/08
101,Johnny Ehrig,5,2022/12-2023/03
100,Julia Kaufmann,1,2022/12-2023/08
102,Milo Marl,4,2022/12-2023/08
105,Leon Restorff,3,2023/01-2023/04
103,Valentin Petzold,3,2023/01-2023/08
104,Linnea Kaul,3,2023/01-2023/08
106,Helena Kummle,4,2023/01-2023/08
107,Yves Gürbig,1,2023/02-2023/08
108,Toni Freimann,2,2023/02-2023/08
109,Nina Howard,3,2023/02-2023/11
110,Bianka Rietmüller,3,2023/03-2023/08
111,Rick Bauer,4,2023/03-2023/08
112,Henry Dück,2,2023/04-2023/08
114,Louis Bäcker,3,2023/04-2023/08
115,Emma König,3,2023/04-2023/08
113,Neko Best,4,2023/04-2023/09
121,Alica Harms,2,2023/05-2023/06
116,Tanja Frantz,4,2023/05-2023/08
118,Rebekka Michallek,2,2023/05-2023/08
119,Leana Buss,3,2023/05-2023/08
120,Lucie Filsinger,2,2023/05-2023/08
117,Georg Decker,4,2023/05-2023/12
122,Mirja Kaiser,1,2023/06-2023/08
123,Tony Bürger,3,2023/06-2023/08
124,Benedikt Brunner,1,2023/06-2023/08
125,Leon Nolte,3,2023/06-2023/12
126,Lucia Riediger,2,2023/07-2023/08
127,Amanda Hartwig,3,2023/07-2023/08
128,Bernd Hache,1,2023/07-2023/08
130,Jule Dahm,1,2023/07-2023/08
129,Rahel Hartmann,1,2023/07-2024/05
